,ch_name,english_name,date,info
10,密弒遊戲2：勝者危亡,Escape Room: Tournament of Champions,2021-09-03,為了將害人致死的「世界頂尖密室逃脫」主辦方繩之以法，兩位遊戲生存者柔伊（泰勒羅素飾）和班（羅根米勒飾）決定聯手到紐約找出背後兇手。但兩人卻與其他四位陌生人在紐約地鐵上遇到大災難，並意外發現他們不僅捲入更危險致命的密室遊戲，且所有人之前都是「世界頂尖密室逃脫」遊戲的生存者。在不解迷就等死的情況下，這六人將如何協力找生路，避免成為下一批遊戲犧牲者？
11,尚氣與十環傳奇,Shang-Chi and the Legend of the Ten Rings,2021-09-03,漫威電影宇宙再度擴張，全新動作英雄《尚氣與十環傳奇》正式登場，故事敘述尚氣（劉思慕飾演）自幼接受父親文武（梁朝偉飾演）的鐵血戰鬥培訓，精通各種武術招式。長大後為了逃離家鄉，他改名換姓展開新生活，認識了新摯友凱蒂（奧卡菲娜飾演），平靜日子就這樣過了十年，直到過去再度找上門… 尚氣能否會發掘十環的無敵力量，無懼擺脫父親的勢力？
12,疾凍救援,The Ice Road,2021-08-25,"★ 今年暑假超級災難動作強檔！
★《即刻救援》億萬巨星連恩尼遜年度鉅獻！
★ 耗資4000萬美金拍攝、加拿大冰路實地取景，享受冰上狂飆刺激快感 ！
★《世界末日》《空中監獄》《終極警探3》編劇強納森漢斯林執導最新力作！
 
300英哩冰封路 30小時危機倒數 唯一存活機會！
 
在加拿大北部一處偏僻的鑽石礦坑發生重大坍塌意外，一群礦工被埋在坑道內，僅剩30小時的氧氣可以存活。駕駛經驗豐富的巨型卡車駕駛（連恩尼遜飾）、與天才機械師弟弟葛帝(馬克斯湯瑪斯飾)組成緊急救難隊，靠著巨型卡車橫越300英哩結冰湖面構成「冰路」，救出被困住的26名礦工。這群緊急救難隊成員不但要在逐漸融化的「冰路」搏命飆速、還要面對即將來襲的超大風暴，但他們真正的威脅卻是過去從未遇過的恐怖危機...原來礦坑企業公司為了隱藏爆炸意外主因被揭發，雇用大批殺手阻撓救難隊員行進，一場驚天動地的救難行動在冰天雪地中就此展開！"
13,殺手保鑣2,The Hitman's Wife's Bodyguard,2021-08-25,"★ 億萬票房《殺手保鑣》系列續集，暑假必看!
★影史最強三""賤""客，原班人馬霸氣回歸，戰力全開「一生只賤你一人」!
 
萊恩雷諾斯、山繆傑克森雙人合體電影《殺手保鏢》票房大獲成功，萊恩與山繆都相當喜歡這個角色，因此再度與導演簽下續集合約。但有個前提是：續集劇本一定要更賤、爆破要更驚人，導演義無反顧一口答應! 
 
《殺手保鏢2》在2019年5月於克羅埃西亞開拍，故事將延續上一集，為防止獨裁勢力摧毀整個歐洲，嗆辣老婆「索妮亞」出獄後被迫與3A保鑣-麥可聯手執行任務，三人合體的嘴賤攻防怎能不期待!"
14,特種部隊：蛇眼之戰,Snake Eyes,2021-08-18,《特種部隊：蛇眼之戰》一片由亨利高汀領銜主演蛇眼，一個充滿決心毅力的獨行俠，在拯救了一個古老日本忍者家族---嵐影氏族的指定接班人之後，被納入這個家族。他在前往日本之後，嵐影氏族就開始教導蛇眼成為忍者戰士的各種技能，同時也給了一個他從小就一直渴望的東西：一個家。但是當關於他過去的秘密漸漸揭露之後，蛇眼的榮譽感和忠誠度將受到嚴苛的考驗－即便那可能代表他會失去與他最親密的人的信任。《特種部隊：蛇眼之戰》一片演員陣容堅強，包括飾演白幽靈的安德魯光司、飾演男爵夫人的烏蘇拉可貝蘿、飾演史嘉蕾的薩瑪拉威明、飾演亞希子的安部春香、飾演健太的平岳大，以及飾演嵐影宗師的伊科烏艾斯。
15,脫稿玩家,Original title: Free Guy,2021-08-12,《脫稿玩家》 故事描述一個銀行小職員 - 蓋伊 (萊恩雷諾斯) 日復一日年復一年做著無聊的工作，過著樸實無華的生活，直到有一天他突然發現自己是一個暴力電玩中可有可無的配角，他想要突破現狀，但這個動作竟讓整個遊戲大變調，除了要挑戰層層關卡，還要拯救世界，更重要的是否能從C咖一躍成A咖呢？
16,玩命關頭9,Fast & Furious 9,2021-08-11,"馮迪索飾演的唐老大和莉蒂與他的兒子小布萊恩，正在過著與世隔絕的平靜生活，但是他們都知道這種平靜的生活隨時隨地都會受到致命危機的威脅。這次，這個威脅將逼迫唐老大面對他過去犯下的罪孽，如果他想要拯救他最愛的人們。他的團隊將再度攜手合作，槓上他們遇過最高竿的職業刺客和飆速車手，並且阻止他摧毀全世界的邪惡計畫。這個神秘人物也正好是早就被唐老大切斷兄弟關係的親弟弟雅各（約翰希南 飾）。
 
【關於電影】
曾經執導《玩命關頭》第3集、第4集、第5集和第6集的華裔導演林詣彬回歸執導《玩命關頭9》，他讓這個電影系列成為全球大賣的超級動作鉅片。《玩命關頭9》這部全新系列電影中的動作場面橫跨全球，從倫敦到東京，從中美洲到愛丁堡，然後從位於亞塞拜然的秘密地下碉堡，一直到喬治亞共和國首都提比里斯車水馬龍、熙來攘往的街頭。這一路上，老朋友將起死回生，昔日的敵人將再度回歸，歷史將被重新改寫，而且家庭真正的意義也將受到前所未有的考驗。再度回歸參與這部電影演出的堅強卡司包括蜜雪兒羅卓奎茲、泰瑞斯吉布森、路達克里斯、喬丹娜布魯斯特、娜塔莉艾曼紐、姜成鎬，以及奧斯卡影后海倫米蘭與莎莉賽隆。曾經榮獲葛萊美獎肯定的當紅歌手和超級巨星卡蒂B在《玩命關頭9》一片中將飾演全新角色蕾莎，一個和唐老大的過去有關聯的女子，另外，雷鬼動音樂巨星歐蘇納也在這部電影中客串演出。"
17,自殺突擊隊：集結,The Suicide Squad,2021-08-05,"歡迎來到地獄—全美死亡率最高的「美夢監獄」。那裡關押著最兇惡的超級反派，他們為了逃離該處願意付出任何代價，甚至不惜加入超級神祕又黑幕重重的X特遣隊。這次九死一生的任務是什麼呢？首先結集「血腥運動」、「和平使者」、「迴旋鏢隊長」、「捕鼠人2」、「智者」、「鯊魚王」、「黑色守衛」、「標槍」，以及大家最喜歡的精神病患「哈莉奎茵」等一幫罪犯，給他們配上最精良的重裝武器，再把他們扔…請注意真的是用扔的，到與世隔絕又布滿敵軍的柯多瑪堤小島。他們徒步穿越每個角落都藏滿敵對兵力和武裝傭兵的叢林，突擊隊員在瑞克佛萊格上校一人隨行並帶領管束下，執行著搜索及摧毀的任務…
 
阿曼達華勒的政府技工則從耳機裡提點監控，全程緊迫盯人。與往常一樣，他們只要踏錯一步就會屍骨無存（無論是死於敵方的手下、自己隊友的暗算，或是華勒的親自下令）。若真要下注賭個輸贏，明智的選擇絕對是押他們落敗，全軍覆沒。"
18,除暴,Caught In Time,2021-07-30,"★ 超級硬派警匪決戰，6年內犯下破萬件搶案的最強悍匪與刑警強力對決
★ 金獎影帝吳彥祖與王千源突破形象，最暴烈震撼的演出，演技狂飆
★ 火暴殘忍的動作場面，犯案與辦案的燒腦劇情，口碑滿滿，大賣20億台幣
 
90年代，屢破大案的刑警鍾誠（王千源 飾）受命追捕悍匪集團「老鷹幫」。這群悍匪犯下驚天連環劫案，訓練有素且紀律嚴明，手中更有大量槍枝武器，首領張隼（吳彥祖 飾）還屢次惡意挑釁，矛頭直指鍾誠。
 
雙方一次次街頭火拚，警方卻一直無法將老鷹幫捉拿歸案，鍾誠帶領刑警小隊仍咬死不放，更加強訓練對抗悍匪。數年間，警匪上演了多次的緊張刺激的較量，老鷹幫愈加猖獗，警方面臨到巨大時間壓力，但似乎也逐漸掌握到老鷹幫犯案模式，雙方又再次展開殊死對決。"
19,叢林奇航,Jungle Cruise,2021-07-30,"故事描述一位名叫霍頓博士（艾蜜莉布朗 飾演）發現了深藏在亞馬遜裡，有著一顆擁有治癒神力的奇幻之樹，而要取得這棵樹的神力，必須帶著一個被人類收藏的「神奇箭頭」來解開它，霍頓博士決定要深入叢林，來一探這個傳說的究竟，她找來了一個看似可靠，但其實是個只想詐騙遊客的狡猾渡輪船長—法蘭克船長（巨石強森 飾演），她雇用法蘭克載著自己與弟弟（傑克懷特霍爾 飾演）前往叢林展開這場解開神秘傳說之謎的旅程。
 
迪士尼樂園最受歡迎的人氣遊樂設施「叢林奇航」首度改編成電影，將在2020年暑假搬上大銀幕了！這趟神秘的叢林之旅，要帶著大家進入一趟最驚險刺激的旅程，過程中將會遇上許多危險恐怖的生物，以及奇異的超自然現象，新作融合《國家寶藏》般的驚險探險劇情，加上《神鬼奇航》般的冒險旅程！"
20,宇宙特攻隊,Cosmoball,2021-07-22,"★俄羅斯影史最強特效場景
★《馴龍高手》《變形金剛》億萬動畫團隊再造顛峰
★網友狂讚！媲美《艾莉塔：戰鬥天使》
 
2071 年在銀河戰爭之後，月球被毀、行星的兩極消失，莫斯科的人口及氣候變得與巴西接近，各種種族及文化共存於陽光普照的街道上。
 
而在地球的高空上盤旋著一輛巨大的宇宙飛船──這是舉辦「宇宙球」的專屬體育場，「宇宙球」是一種風靡世界的全新足球運動，以極高的速度及驚豔的視覺著稱；但在全世界為它著迷的同時，其實每場球賽的結果都決定著地球的命運，背後不為人知的黑幕也隨著一場接一場的比賽逐漸露出。"
21,黑寡婦,Black Widow,2021-07-14,"漫威影業2020年的首部重頭戲，是粉絲請求多時，終於實現的《黑寡婦》個人電影，黑寡婦在漫威電影宇宙中舉足輕重，10多年來參與了7部電影。現在，娜塔莎羅曼諾夫，也就是大家所熟知的黑寡婦，終於踏上個人的旅程，讓粉絲看到她不為人知的一面。
 
故事時間點設定在《美國隊長 3 : 英雄內戰》之後，娜塔莎因為幫助了美國隊長而踏上流亡之路，當她發現一個與過去有關的陰謀時，她必須全球追蹤，回頭面對她神祕的間諜生涯，同時逃過反派「模仿大師」的追殺。"
22,玩命鈔劫,Wrath of Man,2021-07-13,"★ 《福爾摩斯》《阿拉丁》億萬大導蓋瑞奇最新力作
★ 「地表最帥光頭」傑森史塔森繼《玩命關頭》後最強動作鉅獻
★ 傑森史塔森、蓋瑞奇四度合作，黃金組合激爆大銀幕
★ 耗資15億台幣重金打造，全美由《007》發行商MGM/UA影業超過3000間戲院盛大發行
★ 全美5月7日暑期第一檔重磅上映，台灣搶先全美上映
 
行事作風硬派的神祕男子H（傑森史塔森 飾）任職於運鈔車公司，每周負責於洛杉磯街頭運送上億鉅款。在一場劫案中，H展現的驚人身手震驚了所有同事，眾人紛紛猜測起他究竟是何方神聖。隨著劫案接二連三發生，H成為運鈔車保全的真正動機也逐漸明朗……。"
23,名偵探柯南：緋色的彈丸,Detective Conan the Movie: The Scarlet Bullet,2021-07-13,"★搭上日本奧運熱潮，一場突發事件將破壞世界最大體育祭典！
★真空超導新幹線！速度衝刺與爆破規模創下柯南系列電影新紀錄
★黑暗組織的陰謀、赤井秀一的秘密、FBI的高規格暗地搜查，有史以來最複雜     的案件……
★日本最強音樂才女「椎名林檎」引領東京事變，量身打造主題曲「永遠的不在場證明」
★日本人最後的心靈支柱，翻轉一切厄運，迎來希望與光明
★柯南和反派非常精彩的鬥智鬥勇
 
世界最大的體育盛會「WSG -World Sports Games-」暌違多年將在東京舉辦。日本為盛大舉行開幕儀式，展現日本最尖端技術──世界首創最高時速1000km的「真空超電導新幹線」，在新名古屋站和東京之間開通！
 
在世人目光的注視下，知名大會贊助商匯集的會場中，各大企業老闆光天化日下相繼被綁架。此時，卻發現赤井秀一竟在背地監視，並指揮FBI成員們的行動。同時，柯南想起15年前在美國波士頓發生的驚悚WSG連續綁架事件也是由FBI負責偵查，或許這一場事件，敵人就是自己人，然而各種證據顯示出的不在場證明，難以讓真相水落石出……"
24,那些要我死的人,Those Who Wish Me Dead,2021-05-06,安潔莉娜裘莉飾演的漢娜，是一名空降消防員，因在一場大火中未即時救出三人，使她深受衝擊，這時她遇到一個也深受創傷、陷入困境無處可逃的12歲男孩，漢娜與男孩一起躲避緊追不捨的殺手，以及周圍肆虐的野火。
25,大獵逃,Hunted,2021-04-30,"★年度最殘忍的大逃殺題材！血腥程度宛如現代版《血紅帽》
★馬格利特獎得主 露西德拜Ｘ阿里耶沃索爾特 聯手上演逃亡戲碼
★當浪漫邂逅變成生死搏鬥 戰慄直逼《逃出絕命鎮》
★森林有股神祕力量 想要活命只能靠「牠們」！
★全新驚悚獵奇題材　是男追女還是「男獵女」？
 
夏娃（露西德拜 飾）在酒吧邂逅了一名迷人的男子，原以為是一場浪漫相遇，卻在上了男子的車後有了變故。原來，夏娃是兩名男子不懷好意的目標，上車後即遭綁架至遙遠的森林，為了生存她開始逃亡，究竟夏娃該如何活下去，並借用森林的力量復仇？一場充滿危險的生死搏鬥即將展開！"
26,真‧三國無雙,Dynasty Warriors,2021-04-29,"★20周年紀念作品 
★改編自全球總銷售量超過2100萬的電玩《真‧三國無雙》
★斥資上億台幣 全球粉絲眾所期待 最適合大銀幕的改編
 
二千多年前的中國大陸有一種神秘的力量——無雙，武將擁有它可以一人斬殺千軍萬馬，控制住無雙的人被稱為無雙英雄。東漢末年,政治腐敗,以致民間爆發了黃巾起義，朝廷束手無策，生活窘迫的草民劉備僅帶著馬夫關羽和屠夫張飛就平定了黃巾亂賊，不料卻被貪官陷害，反遭到朝廷士兵追殺。
 
此時董卓趁機入京霸佔朝野，引起新一輪天下動盪，無名小官曹操看不慣朝野上下的懦弱，冒著生命危險，獨自前去刺殺董卓，雖然失敗卻一石激起千層浪，十八路諸侯們紛紛起兵，建立盟軍伐董，曹操也招兵買馬，組建了自己的軍隊參與其中。劉關張雖然只有三人也自願參與會盟，隨即遭到眾諸侯的嘲笑，唯獨曹操欣賞劉備，兩人從不相識到惺惺相惜....關羽斬華雄後，眾諸侯因懼怕天下第一無雙神兵呂布而四散奔逃，只有劉關張曹決意一起面對，一場英雄之間的對決後，屬於三國的時代就此拉開序幕…
 
【關於電影】
 
真·三國無雙系列(日版名:真·三國無雙,英文版名:Dynasty Warriors)是由日本光榮特庫摩(原光榮)旗下Omega Force開發,光榮特庫摩發行的動作砍殺遊戲系列。遊戲系列內容主要是選擇操作以為三國演義中的人物去進行三國時代中的著名戰役，人物設定以趙雲為主人翁，體驗“一夫當關，萬夫莫敵”以及于行伍之中“取敵將首級如探囊取物”的演義情境，但是在系列作品中都是高難度的模式，除玩家外的普通士兵和武將都會大大加強。總體來說難度越高，玩家控制的武將將在戰場上的作用就越小。首作《真·三國無雙》為PlayStation上《三國無雙》改編續作的動作砍殺遊戲，其發售在一定程度上助長了PlayStation2的初期銷量。這次是該遊戲系列第一次正式授權電影公司將之搬上大銀幕。"
27,秘密X戰士 劇場版 大家一起來看電影喔,Phantomirage Movie,2021-04-29,"要將逆反之心老實交代地保護著和平日子！
 
閃亮活耀的幻影甜心們，某日收到超有名的導演黑澤青拍電影邀約！好吧！那麼就如大家所願來拍部幻影無限的電影吧！但卻被逆逆警察的逆反大人所發現，而將在電影拍攝中的導演變成了逆反者！這樣下去就拍不了這部幻影無限的電影了！用大家的應援力量，讓幻影甜心們能完成這部幻影無限的電影吧！"
28,電影版 嬌妻出沒注意,Caution Hazardous Wife The Movie,2021-04-23,"★高收視話題日劇《嬌妻出沒注意》回來啦！
★東瀛女神《海街日記》綾瀨遙！
★型男大叔《昨日的美食》西島秀俊！
★日版《史密斯任務》夫妻相愛相殺！
★間諜老婆 VS 警察老公 為任務斷開所戀！
★史上最強夫妻吵架吵成#國際危機！
 
過去曾擔任過特務的專職主婦─伊佐山菜美（綾瀨遙 飾），以及真實身分為現役公安警察且負責監視菜美的溫柔丈夫─伊佐山勇輝（西島秀俊 飾），兩人隱姓埋名，改名為櫻井久實與裕司，在小小的偏鄉都市珠海市展開新生活。而這其實是由於半年前的某個契機造成菜美喪失記憶所致。
 
「拋下過去，我只想珍惜當下與你共度的生活」
在兩人展開新生活的珠海市，由於新能源「甲烷水合物」開採而逐漸活絡，然而主張守護純淨海洋的反對開發派，以及以市長為首的推進派之間的爭執日漸激化。事實上，公安已經查出新能源開發案背後，潛藏著與俄羅斯勾結的國家級陰謀。
 
「如果那女人不願意協助公安，就把她殺了」
究竟該相信還是該懷疑？要放她走還是抓住她？內心糾結不已的裕司（勇輝）。而當菜美找回原本的記憶，也代表彼此相愛的兩人必須道別。在這之中，被過往宿命及國家追殺的久實（菜美）卻又被捲入更大的事件之中。
 
【關於電影】
 
超人氣話題日劇《嬌妻出沒注意》於2017年播出時創下最高收視率14.5%，最高綜合收視率25.6%的絕佳成績，如今終於眾望所歸推出《電影版 嬌妻出沒注意》！
 
綾瀨遙飾演擁有「前特務」秘密身分的菜鳥主婦，故事交織在嬌妻接連擊敗惡棍的魄力動作場面（沒有使用替身！）與西島秀俊飾演的丈夫之真實身分逐漸浮現（其實是「公安警察」）之中刺激的展開。 
 
而最重要的是對彼此說謊、隱瞞真相，卻仍舊深愛著對方的劇情也成為本片的話題焦點。嚮往自由的妻子以及背負著國家枷鎖的丈夫，為了追求平穩幸福的生活，本應徹底收山的他們，卻由於無法對附近發生的各種事件坐視不管，為了救出受苦受難的人們，而成為了強大可愛又帥氣的新英雄，獲得廣大世代的支持。
 
這次為了拍攝《電影版 嬌妻出沒注意》，也特地找來了最強團隊，原案由《SP特勤型男》系列及《CRISIS危機英雄》金城一紀擔任。執導筒的則是《賭博默示錄》系列及《ST 警視廳科學特搜班 紅白搜查檔案》、《極道鮮師 電影版》等大賣座作品的幕後推手佐藤東彌。
 
由綾瀨遙本人親身上陣演出的精彩打鬥場面，當時即為日劇版帶來許多討論，可說是傳說級日劇，再加上劇中的最強夫妻搭檔，這次無論是故事性或動作場面都將大幅提升規模，化身頂級娛樂饗宴，凱旋登上大銀幕！
 
兼具美麗與強大，強化再升級的最強妻子─綾瀨遙，這次也堅持不使用替身演員、帶來最狂放的演出。優雅美麗的女主角以及前所未見的動作場面，千萬不容錯過！
 
擁有驚人強大力量卻又懷抱著不可告人的秘密，最強夫妻的糾葛與愛情加上極具魄力的動作場面（夫妻吵架），日本影史上前所未見的「最強妻子動作娛樂大片」即將拉開戲幕！
 
這場〝史上最強夫妻吵架〞結果究竟會如何？兩人之間的愛又將何去何從？感動驚人的最高潮將會是…"
29,惡夜殺神,Vanquish,2021-04-21,"★ 《惡魔島》製片團隊最新火爆動作鉅獻
★ 《絕地戰警》系列編劇打造全新女英雄
★ 《捍衛任務》《惡靈古堡：最終章》露比蘿絲再展拳腳功夫
★ PAGE國際電影劇本創作獎最佳劇本
★ 限時一晚、分秒必爭！為救出愛女，她在所不惜！
 
前運毒高手維多莉亞（露比蘿絲 飾）試圖擺脫黑暗的過去，但退休警察局長戴蒙（摩根費里曼 飾）卻綁架她的女兒，藉此要脅維多莉亞在一夜內替他收集完一批巨款。現在，維多莉亞必須靠著手中的槍和特殊技能深入虎穴，掃蕩阻擋在前的暴力幫派份子，才能再見到自己的女兒一面……。"
